Model,Test_Accuracy,Test_Accuracy_Std,Train_Accuracy,Test_F1,Test_F1_Std,Test_Precision,Test_Recall,Test_ROC_AUC,Overfit_Gap
Logistic Regression,0.99,0.016583123951777013,0.9997222222222222,0.9895250438885231,0.017327124199071377,0.9878676470588236,0.992,1.0,0.009722222222222188
Random Forest,0.9925,0.01145643923738961,0.9991666666666665,0.9919576284351338,0.012286301650928541,0.9930288461538461,0.9913333333333334,1.0,0.0066666666666664876
XGBoost,0.9875,0.020155644370746392,1.0,0.9865926310842639,0.021599781390638884,0.9884908664320429,0.986,0.9984,0.012499999999999956
Neural Network,0.945,0.0269258240356725,0.9555555555555554,0.9430923445279917,0.027537359023570223,0.9378192724458204,0.9559999999999998,0.9997333333333334,0.01055555555555543
KNN,0.9574999999999999,0.031721443851123785,0.9736111111111111,0.9560022463156349,0.032718308675264034,0.9517769607843137,0.966,0.994,0.016111111111111187
SVM,0.9875,0.016770509831248438,0.9966666666666667,0.9868917324994513,0.017534838191429727,0.9847426470588235,0.99,1.0,0.009166666666666656
